file,wrapper_start,int21_at,call_at,al_bp_disp,bx_bp_disp,cx_bp_disp,dx_bp_disp,caller_pushes
w31/extract/mdcache.exe,0x015fc,0x01607,0x01b60,,6,,,ax
w31/extract/mdcache.exe,0x015fc,0x01607,0x01b99,,6,,,"ax,ax,ax,ax"
w31/extract/mdcache.exe,0x025b6,0x025ca,0x03347,8,6,14,10,"wordptr[bp+8],wordptr[bp+6],ax,wordptr[bp-8]"
w31/extract/mdcache.exe,0x025b6,0x025ca,0x03371,8,6,14,10,"dx,ax,ax,wordptr[bp-8]"
w31/extract/mdcache.exe,0x02a9f,0x02acd,0x030c4,,6,,,"ax,ax"
w31/extract/mdcache.exe,0x02a9f,0x02add,0x030c4,,6,,,"ax,ax"
w31/extract/mdformat.exe,0x02a74,0x02a7f,0x03066,,6,,,ax
w31/extract/mdformat.exe,0x02a74,0x02a7f,0x0309f,,6,,,"ax,ax,ax,ax"
w31/extract/mdformat.exe,0x04039,0x0404d,0x05792,8,6,14,10,"wordptr[bp+8],wordptr[bp+6],ax,wordptr[bp-8]"
w31/extract/mdformat.exe,0x04039,0x0404d,0x057bc,8,6,14,10,"dx,ax,ax,wordptr[bp-8]"
w31/extract/mdformat.exe,0x04dde,0x04e0c,0x05423,,6,,,"ax,ax"
w31/extract/mdformat.exe,0x04dde,0x04e1c,0x05423,,6,,,"ax,ax"
