table,index,flag_hex,name,name_file_off,pointer_entry_off
1,1,0x0001,AMIRROR,0x0ead8,0x0eb22
1,2,0x0002,AINVISIBLE,0x0eae0,0x0eb26
1,3,0x0040,APROTECT,0x0eaeb,0x0eb2a
1,4,0x0080,ABACKUP,0x0eaf4,0x0eb2e
1,5,0x0100,AINHFORMAT,0x0eafc,0x0eb32
1,6,0x0200,AINHRENAME,0x0eb07,0x0eb36
1,7,0x0400,AINHCOPY,0x0eb12,0x0eb3a
1,8,0x8000,AEXT32,0x0eb1b,0x0eb3e
2,1,0x0001,ADIR,0x0eb5a,0x0ebc6
2,2,0x0002,AINVISIBLE,0x0eb5f,0x0ebca
2,3,0x0004,ASYSTEM,0x0eb6a,0x0ebce
2,4,0x0008,ADELETED,0x0eb72,0x0ebd2
2,5,0x0040,APROTECT,0x0eb7b,0x0ebd6
2,6,0x0080,ABACKUP,0x0eb84,0x0ebda
2,7,0x0100,AINHDELETE,0x0eb8c,0x0ebde
2,8,0x0200,AINHRENAME,0x0eb97,0x0ebe2
2,9,0x0400,AINHCOPY,0x0eba2,0x0ebe6
2,10,0x2000,AEXTTYPE,0x0ebab,0x0ebea
2,11,0x4000,AFXTREC,0x0ebb4,0x0ebee
2,12,0x8000,AAEXTREC,0x0ebbc,0x0ebf2
