file,rel_index,ptr_file_off,target_file_off,far_off,far_seg,text
w31/extract/mdcache.exe,9,0x0c978,0x0cc93,0x03f3,0x0b8a," device reported error while accessing Volume Space Bitmap
"
w31/extract/mdcache.exe,10,0x0c974,0x0cc5a,0x03ba,0x0b8a," device reported error while accessing Managment Table
"
w31/extract/mdcache.exe,11,0x0c970,0x0cc1f,0x037f,0x0b8a," device reported error while accessing Volume Descriptor
"
w31/extract/mdcache.exe,12,0x0c96c,0x0cbe9,0x0349,0x0b8a," device reported error while writing root directory
"
w31/extract/mdcache.exe,13,0x0c968,0x0cbbd,0x031d,0x0b8a," device reported error while reading UTOC
"
w31/extract/mdcache.exe,14,0x0c964,0x0cb8d,0x02ed,0x0b8a," device reported error while reading capacity
"
w31/extract/mdcache.exe,15,0x0c960,0x0cb5e,0x02be,0x0b8a," device reported error while reading defects
"
w31/extract/mdcache.exe,16,0x0c95c,0x0cb2e,0x028e,0x0b8a," device reported error while formatting media
"
w31/extract/mdcache.exe,17,0x0c958,0x0cafb,0x025b,0x0b8a," device reported error during critical operation
"
w31/extract/mdcache.exe,18,0x0c954,0x0cae2,0x0242,0x0b8a," device reported error
"
w31/extract/mdcache.exe,19,0x0c950,0x0cac3,0x0223,0x0b8a," there is no media in device
"
w31/extract/mdcache.exe,20,0x0c94c,0x0ca9b,0x01fb,0x0b8a," device reported that it is not ready
"
w31/extract/mdcache.exe,21,0x0c948,0x0ca73,0x01d3,0x0b8a," unable to allocate sufficient memory
"
w31/extract/mdcache.exe,22,0x0c944,0x0ca40,0x01a0,0x0b8a,"Unable to access \MDCTL
Application will abort.
"
w31/extract/mdcache.exe,23,0x0c940,0x0ca1f,0x017f,0x0b8a,"MD component is not recognized
"
w31/extract/mdcache.exe,24,0x0c93c,0x0c9fa,0x015a,0x0b8a,"MD device manager is not installed
"
w31/extract/mdcache.exe,25,0x0c938,0x0c9c0,0x0120,0x0b8a,"Unable to find MD DATA device.
Application will abort.
"
w31/extract/mdcache.exe,26,0x0c934,0x0c99f,0x00ff,0x0b8a,"drive is not an MD DATA device
"
w31/extract/mdcache.exe,27,0x0c930,0x0c97c,0x00dc,0x0b8a,"operation completed successfully
"
w31/extract/mdcache.exe,28,0x0cd00,0x0cee2,0x0642,0x0b8a,"  Enable/Disable/Flush write cache of MD DATA device

SYNTAX:
  mdcache [-?] [drive:] ON | OFF"
w31/extract/mdcache.exe,29,0x0ccfc,0x0ceaf,0x060f,0x0b8a,"device reported error while flushing write cache
"
w31/extract/mdcache.exe,30,0x0ccf8,0x0ce90,0x05f0,0x0b8a,"write cache has been flushed
"
w31/extract/mdcache.exe,31,0x0ccf4,0x0ce5c,0x05bc,0x0b8a,"device reported error while disabling write cache
"
w31/extract/mdcache.exe,32,0x0ccf0,0x0ce42,0x05a2,0x0b8a,"write cache is disabled
"
w31/extract/mdcache.exe,33,0x0ccec,0x0ce0f,0x056f,0x0b8a,"device reported error while enabling write cache
"
w31/extract/mdcache.exe,34,0x0cce8,0x0cdf6,0x0556,0x0b8a,"write cache is enabled
"
w31/extract/mdcache.exe,35,0x0cce4,0x0cdee,0x054e,0x0b8a,ERROR: 
w31/extract/mdcache.exe,36,0x0cce0,0x0cdbf,0x051f,0x0b8a,"ERROR: this drive is not an MD DATA device.

"
w31/extract/mdcache.exe,37,0x0ccdc,0x0cd83,0x04e3,0x0b8a,"ERROR: a parameter on the command line is not understood

"
w31/extract/mdcache.exe,38,0x0ccd8,0x0cd44,0x04a4,0x0b8a,"ERROR: too many parmeters are specified on the command line

"
w31/extract/mdcache.exe,40,0x0ccd0,0x0cd04,0x0464,0x0b8a,"MDcache version 1.0, Copyright (c) 1994 Sony Corporation.

"
w31/extract/mdcache.exe,178,0x0d5dc,0x0d7ec,0x0f4c,0x0b8a,Possible deadlock
w31/extract/mdcache.exe,179,0x0d5d8,0x0d7d8,0x0f38,0x0b8a,File already exists
w31/extract/mdcache.exe,180,0x0d5d4,0x0d7c7,0x0f27,0x0b8a,Result too large
w31/extract/mdcache.exe,181,0x0d5d0,0x0d7b9,0x0f19,0x0b8a,Math argument
w31/extract/mdcache.exe,192,0x0d5a4,0x0d79d,0x0efd,0x0b8a,Cross-device link
w31/extract/mdcache.exe,193,0x0d5a0,0x0d78b,0x0eeb,0x0b8a,Exec format error
w31/extract/mdcache.exe,194,0x0d59c,0x0d77a,0x0eda,0x0b8a,Arg list too big
w31/extract/mdcache.exe,195,0x0d598,0x0d769,0x0ec9,0x0b8a,Invalid argument
w31/extract/mdcache.exe,196,0x0d594,0x0d75b,0x0ebb,0x0b8a,No more files
w31/extract/mdcache.exe,197,0x0d590,0x0d74b,0x0eab,0x0b8a,Not same device
w31/extract/mdcache.exe,198,0x0d58c,0x0d725,0x0e85,0x0b8a,Attempted to remove current directory
w31/extract/mdcache.exe,199,0x0d588,0x0d716,0x0e76,0x0b8a,No such device
w31/extract/mdcache.exe,201,0x0d580,0x0d708,0x0e68,0x0b8a,Invalid data
w31/extract/mdcache.exe,202,0x0d57c,0x0d6f4,0x0e54,0x0b8a,Invalid access code
w31/extract/mdcache.exe,203,0x0d578,0x0d6e5,0x0e45,0x0b8a,Invalid format
w31/extract/mdcache.exe,204,0x0d574,0x0d6d1,0x0e31,0x0b8a,Invalid environment
w31/extract/mdcache.exe,205,0x0d570,0x0d6b4,0x0e14,0x0b8a,Invalid memory block address
w31/extract/mdcache.exe,206,0x0d56c,0x0d6a2,0x0e02,0x0b8a,Not enough memory
w31/extract/mdcache.exe,207,0x0d568,0x0d68d,0x0ded,0x0b8a,Memory arena trashed
w31/extract/mdcache.exe,208,0x0d564,0x0d67d,0x0ddd,0x0b8a,Bad file number
w31/extract/mdcache.exe,209,0x0d560,0x0d66b,0x0dcb,0x0b8a,Permission denied
w31/extract/mdcache.exe,210,0x0d55c,0x0d657,0x0db7,0x0b8a,Too many open files
w31/extract/mdcache.exe,211,0x0d558,0x0d648,0x0da8,0x0b8a,Path not found
w31/extract/mdcache.exe,212,0x0d554,0x0d62e,0x0d8e,0x0b8a,No such file or directory
w31/extract/mdcache.exe,213,0x0d550,0x0d616,0x0d76,0x0b8a,Invalid function number
w31/extract/mdcache.exe,214,0x0d54c,0x0d60e,0x0d6e,0x0b8a,Error 0
w31/extract/mdformat.exe,88,0x18da8,0x18dd8,0x0108,0x170d,Dec
w31/extract/mdformat.exe,89,0x18da4,0x18dd4,0x0104,0x170d,Nov
w31/extract/mdformat.exe,90,0x18da0,0x18dd0,0x0100,0x170d,Oct
w31/extract/mdformat.exe,91,0x18d9c,0x18dcc,0x00fc,0x170d,Sep
w31/extract/mdformat.exe,92,0x18d98,0x18dc8,0x00f8,0x170d,Aug
w31/extract/mdformat.exe,93,0x18d94,0x18dc4,0x00f4,0x170d,Jul
w31/extract/mdformat.exe,94,0x18d90,0x18dc0,0x00f0,0x170d,Jun
w31/extract/mdformat.exe,95,0x18d8c,0x18dbc,0x00ec,0x170d,May
w31/extract/mdformat.exe,96,0x18d88,0x18db8,0x00e8,0x170d,Apr
w31/extract/mdformat.exe,97,0x18d84,0x18db4,0x00e4,0x170d,Mar
w31/extract/mdformat.exe,98,0x18d80,0x18db0,0x00e0,0x170d,Feb
w31/extract/mdformat.exe,99,0x18d7c,0x18dac,0x00dc,0x170d,Jan
w31/extract/mdformat.exe,470,0x19244,0x1995c,0x0c8c,0x170d,"Format completed successfully.
141,099,008 bytes available.

Would you like to format another"
w31/extract/mdformat.exe,471,0x19240,0x198f1,0x0c21,0x170d,"Safe format requires 35 minutes.

The process can NOT be canceled during the first 34 minutes."
w31/extract/mdformat.exe,472,0x1923c,0x198c2,0x0bf2,0x170d,"Quick format requires 90 seconds

Continue? "
w31/extract/mdformat.exe,473,0x19238,0x198b2,0x0be2,0x170d,Format Complete
w31/extract/mdformat.exe,474,0x19234,0x1988b,0x0bbb,0x170d,"Format is canceled, disc is not usable"
w31/extract/mdformat.exe,475,0x19230,0x19870,0x0ba0,0x170d,Do you want to cancel now?
w31/extract/mdformat.exe,476,0x1922c,0x19861,0x0b91,0x170d,Confirm Cancel
w31/extract/mdformat.exe,477,0x19228,0x1982f,0x0b5f,0x170d,Cannot cancel during certifying disc (35 minutes)
w31/extract/mdformat.exe,478,0x19224,0x1981f,0x0b4f,0x170d,Formatting Disc
w31/extract/mdformat.exe,479,0x19220,0x1980b,0x0b3b,0x170d,Confirm Format Disc
w31/extract/mdformat.exe,480,0x1921c,0x197e7,0x0b17,0x170d,No MD drive was found in the system
w31/extract/mdformat.exe,481,0x19218,0x197df,0x0b0f,0x170d,Warning
w31/extract/mdformat.exe,482,0x19214,0x195cd,0x08fd,0x170d,"  Format an MD DATA disc
SYNTAX:
  mdformat drive: [-q | -s] [-o -v:label -?]
PARAMETERS:
  "
w31/extract/mdformat.exe,483,0x19210,0x1959f,0x08cf,0x170d,"Volume Descriptor inhibits format of media.
"
w31/extract/mdformat.exe,484,0x1920c,0x1956f,0x089f,0x170d,"media must be formatted with safe option (-s)
"
w31/extract/mdformat.exe,485,0x19208,0x19548,0x0878,0x170d,"Unable to format media. Check media.
"
w31/extract/mdformat.exe,486,0x19204,0x19509,0x0839,0x170d,"format completed successfully.

141,099,008 bytes available
"
w31/extract/mdformat.exe,487,0x19200,0x194db,0x080b,0x170d,"Volume Label (32 characters, ENTER for none)?"
w31/extract/mdformat.exe,488,0x191fc,0x194c6,0x07f6,0x170d,"installing MDFS...
"
w31/extract/mdformat.exe,489,0x191f8,0x1949e,0x07ce,0x170d,"certification completed successfully.
"
w31/extract/mdformat.exe,490,0x191f4,0x1948c,0x07bc,0x170d, percent complete
w31/extract/mdformat.exe,491,0x191f0,0x19478,0x07a8,0x170d,0  percent complete
w31/extract/mdformat.exe,492,0x191ec,0x19456,0x0786,0x170d,"certifying disc (35 minutes)...
"
w31/extract/mdformat.exe,493,0x191e8,0x1943c,0x076c,0x170d,Press ENTER when ready...
w31/extract/mdformat.exe,494,0x191e4,0x1940c,0x073c,0x170d,"Safe format requires approximately 35 minutes
"
w31/extract/mdformat.exe,495,0x191e0,0x193e0,0x0710,0x170d,"Quick format requires less than 2 minutes
"
w31/extract/mdformat.exe,496,0x191dc,0x193c4,0x06f4,0x170d,Insert a new disc in drive 
w31/extract/mdformat.exe,497,0x191d8,0x1938b,0x06bb,0x170d,"ERROR: unable to communicate with an MD DATA component
"
w31/extract/mdformat.exe,498,0x191d4,0x1934f,0x067f,0x170d,"ERROR: device reported error while installing file system
"
w31/extract/mdformat.exe,499,0x191d0,0x19313,0x0643,0x170d,"ERROR: a parameter on the command line is not understood

"
w31/extract/mdformat.exe,500,0x191cc,0x192e8,0x0618,0x170d,"ERROR: a drive letter was not specified

"
w31/extract/mdformat.exe,501,0x191c8,0x192b6,0x05e6,0x170d,"ERROR: -q and -s may not be specified together

"
w31/extract/mdformat.exe,502,0x191c4,0x192ae,0x05de,0x170d,ERROR: 
w31/extract/mdformat.exe,503,0x191c0,0x1929f,0x05cf,0x170d,"MDformat END
"
w31/extract/mdformat.exe,504,0x191bc,0x19248,0x0578,0x170d,"MDformat version 1.95
Copyright (c) 1994-95 Sony Corporation. All rights reserved.

"
w31/extract/mdformat.exe,505,0x19a20,0x19dcd,0x10fd,0x170d,illegal MDFS volume attribute
w31/extract/mdformat.exe,506,0x19a1c,0x19daf,0x10df,0x170d,illegal Allocation Block Size
w31/extract/mdformat.exe,507,0x19a18,0x19d9a,0x10ca,0x170d,illegal Cluster Size
w31/extract/mdformat.exe,508,0x19a14,0x19d7d,0x10ad,0x170d,"illegal Logical Block Size
"
w31/extract/mdformat.exe,509,0x19a10,0x19d6b,0x109b,0x170d,"illegal MDFS ID
"
w31/extract/mdformat.exe,510,0x19a0c,0x19d2f,0x105f,0x170d,"device reported error while accessing Volume Space Bitmap
"
w31/extract/mdformat.exe,511,0x19a08,0x19cf7,0x1027,0x170d,"device reported error while accessing Managment Table
"
w31/extract/mdformat.exe,512,0x19a04,0x19cbd,0x0fed,0x170d,"device reported error while accessing Volume Descriptor
"
w31/extract/mdformat.exe,513,0x19a00,0x19c88,0x0fb8,0x170d,"device reported error while writing root directory
"
w31/extract/mdformat.exe,514,0x199fc,0x19c5d,0x0f8d,0x170d,"device reported error while reading UTOC
"
w31/extract/mdformat.exe,515,0x199f8,0x19c2e,0x0f5e,0x170d,"device reported error while reading capacity
"
w31/extract/mdformat.exe,516,0x199f4,0x19c00,0x0f30,0x170d,"device reported error while reading defects
"
