ax,bx,cx,dx,ds,buf_ptr,buf_len
0x4400,0x0000,0x0017,0x0000,0x00d8,00d8:0000,0x0017
0x4400,0x0000,0x0017,0x0000,0x1f9e,1f9e:0000,0x0017
0x4400,0x0001,0x0005,0x0001,0x2385,2385:0001,0x0005
0x4400,0x0001,0x0200,0x0000,0x00d8,00d8:0000,0x0200
0x4400,0x0001,0x0200,0x0000,0x1f9e,1f9e:0000,0x0200
0x4400,0x0005,0x0000,0x4001,0x00d8,00d8:4001,0x0000
0x4400,0x0005,0x0000,0x4001,0x1f9e,1f9e:4001,0x0000
0x4400,0x0005,0x0000,0x8001,0x00d8,00d8:8001,0x0000
0x4400,0x0005,0x0000,0x8001,0x1f9e,1f9e:8001,0x0000
0x4400,0x0200,0x0000,0x0000,0x00d8,00d8:0000,0x0000
0x4400,0x4400,0x0087,0x0087,0x0010,0010:0087,0x0087
0x4402,0x0540,0x3003,0x0001,0x00d8,00d8:0001,0x3003
0x4419,0x0540,0x3003,0x0001,0x00d8,00d8:0001,0x3003
0x4444,0x0540,0x3003,0x0001,0x00d8,00d8:0001,0x3003
