ins_addr,mnemonic,op_str,global_off,context
0x01d1,test,"byte ptr [0x5b68], 1",0x5b68,"0x01cb:call 0x1510 || 0x01ce:add sp, 2 || 0x01d1:test byte ptr [0x5b68], 1 || 0x01d6:je 0x1e1 || 0x01d8:push 0"
0x02e8,mov,"al, byte ptr [0x5b41]",0x5b41,"0x02e5:rep movsw word ptr es:[di], word ptr [si] || 0x02e7:pop ds || 0x02e8:mov al, byte ptr [0x5b41] || 0x02eb:mov ah, byte ptr [0x5b40] || 0x02ef:mov word ptr [0x5b40], ax"
0x02eb,mov,"ah, byte ptr [0x5b40]",0x5b40,"0x02e7:pop ds || 0x02e8:mov al, byte ptr [0x5b41] || 0x02eb:mov ah, byte ptr [0x5b40] || 0x02ef:mov word ptr [0x5b40], ax || 0x02f2:mov al, byte ptr [0x5b43]"
0x02ef,mov,"word ptr [0x5b40], ax",0x5b40,"0x02e8:mov al, byte ptr [0x5b41] || 0x02eb:mov ah, byte ptr [0x5b40] || 0x02ef:mov word ptr [0x5b40], ax || 0x02f2:mov al, byte ptr [0x5b43] || 0x02f5:mov ah, byte ptr [0x5b42]"
0x02f2,mov,"al, byte ptr [0x5b43]",0x5b43,"0x02eb:mov ah, byte ptr [0x5b40] || 0x02ef:mov word ptr [0x5b40], ax || 0x02f2:mov al, byte ptr [0x5b43] || 0x02f5:mov ah, byte ptr [0x5b42] || 0x02f9:mov word ptr [0x5b42], ax"
0x02f5,mov,"ah, byte ptr [0x5b42]",0x5b42,"0x02ef:mov word ptr [0x5b40], ax || 0x02f2:mov al, byte ptr [0x5b43] || 0x02f5:mov ah, byte ptr [0x5b42] || 0x02f9:mov word ptr [0x5b42], ax || 0x02fc:mov al, byte ptr [0x5b45]"
0x02f9,mov,"word ptr [0x5b42], ax",0x5b42,"0x02f2:mov al, byte ptr [0x5b43] || 0x02f5:mov ah, byte ptr [0x5b42] || 0x02f9:mov word ptr [0x5b42], ax || 0x02fc:mov al, byte ptr [0x5b45] || 0x02ff:mov ah, byte ptr [0x5b44]"
0x02fc,mov,"al, byte ptr [0x5b45]",0x5b45,"0x02f5:mov ah, byte ptr [0x5b42] || 0x02f9:mov word ptr [0x5b42], ax || 0x02fc:mov al, byte ptr [0x5b45] || 0x02ff:mov ah, byte ptr [0x5b44] || 0x0303:mov word ptr [0x5b44], ax"
0x02ff,mov,"ah, byte ptr [0x5b44]",0x5b44,"0x02f9:mov word ptr [0x5b42], ax || 0x02fc:mov al, byte ptr [0x5b45] || 0x02ff:mov ah, byte ptr [0x5b44] || 0x0303:mov word ptr [0x5b44], ax || 0x0306:mov ax, word ptr [0x5b4a]"
0x0303,mov,"word ptr [0x5b44], ax",0x5b44,"0x02fc:mov al, byte ptr [0x5b45] || 0x02ff:mov ah, byte ptr [0x5b44] || 0x0303:mov word ptr [0x5b44], ax || 0x0306:mov ax, word ptr [0x5b4a] || 0x0309:sub ah, ah"
