slot,ins_addr,mnemonic,access,op_str,context
0x196c,0x40d1,lcall,indirect,[0x196c],"0x40c8:mov ax, word ptr [0x1970] || 0x40cb:mov dx, word ptr [0x1972] || 0x40cf:xor bx, bx || 0x40d1:lcall [0x196c] || 0x40d5:jae 0x40da || 0x40d7:jmp 0x423e || 0x40da:mov ax, word ptr [0x1974]"
0x196c,0x40e4,lcall,indirect,[0x196c],"0x40da:mov ax, word ptr [0x1974] || 0x40dd:mov dx, word ptr [0x1976] || 0x40e1:mov bx, 3 || 0x40e4:lcall [0x196c] || 0x40e8:mov es, word ptr [0x149a] || 0x40ec:mov cx, word ptr es:[0x2c] || 0x40f1:jcxz 0x4131"
0x196c,0x41f9,lcall,indirect,[0x196c],"0x41f0:mov cx, word ptr [0x196e] || 0x41f4:jcxz 0x41fd || 0x41f6:mov bx, 2 || 0x41f9:lcall [0x196c] || 0x41fd:push ds || 0x41fe:lds dx, ptr [0x1486] || 0x4202:mov ax, 0x2500"
0x14d2,0x422e,lcall,indirect,[0x14d2],"0x4224:call 0x44ff || 0x4227:cmp word ptr [0x14d4], 0 || 0x422c:je 0x4232 || 0x422e:lcall [0x14d2] || 0x4232:mov ax, 0xff || 0x4235:push ax || 0x4236:push cs"
0x14d6,0x4259,mov,read,"ax, word ptr [0x14d6]","0x4256:retf  || 0x4257:push dx || 0x4258:push cx || 0x4259:mov ax, word ptr [0x14d6] || 0x425c:inc ax || 0x425d:jne 0x4264 || 0x425f:xor ax, ax"
0x14d6,0x4264,ljmp,indirect,[0x14d6],"0x425d:jne 0x4264 || 0x425f:xor ax, ax || 0x4261:jmp 0x4072 || 0x4264:ljmp [0x14d6] || 0x4268:push si || 0x4269:xor si, si || 0x426b:mov cx, 0x42"
0x14dc,0x428c,pop,write,word ptr [0x14dc],"0x4287:mov ax, 1 || 0x428a:pop si || 0x428b:retf  || 0x428c:pop word ptr [0x14dc] || 0x4290:pop word ptr [0x14de] || 0x4294:mov ax, word ptr [0x149e] || 0x4297:mov dx, 1"
0x14dc,0x4430,ljmp,indirect,[0x14dc],"0x4426:pop ds || 0x4427:mov word ptr [bx], 0 || 0x442b:mov word ptr [bx + 2], 0 || 0x4430:ljmp [0x14dc] || 0x4434:push bp || 0x4435:mov bp, sp || 0x4437:sub sp, 4"
0x177a,0x5b48,or,read,"cx, word ptr [0x177a]","0x5b41:xor ax, ax || 0x5b43:cdq  || 0x5b44:mov cx, word ptr [0x177c] || 0x5b48:or cx, word ptr [0x177a] || 0x5b4c:je 0x5b60 || 0x5b4e:push word ptr [bp + 6] || 0x5b51:lcall [0x177a]"
0x177a,0x5b51,lcall,indirect,[0x177a],"0x5b48:or cx, word ptr [0x177a] || 0x5b4c:je 0x5b60 || 0x5b4e:push word ptr [bp + 6] || 0x5b51:lcall [0x177a] || 0x5b55:add sp, 2 || 0x5b58:cdq  || 0x5b59:or ax, ax"
